TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
section,linked-in-updates,,,,,,,,,,
task,Experience section,,4,1,Colin (16279760),,,,Europe/London,,
task,Volunteer section,,4,1,Colin (16279760),,,,Europe/London,,
task,Radio presenting,,4,2,Colin (16279760),,,,Europe/London,,
task,Skills section,,4,1,Colin (16279760),,,,Europe/London,,
,,,,,,,,,,,
section,job-boards,,,,,,,,,,
task,Gigged.AI,[Gigged.AI - Hire freelancers for your project](https://gigged.ai/),4,1,Colin (16279760),,,,Europe/London,,
task,Noir,[Jobs Archive](https://www.noirconsulting.co.uk/job-search/),4,1,Colin (16279760),,,,Europe/London,,
,,,,,,,,,,,
section,job-applications,,,,,,,,,,
,,,,,,,,,,,
section,companies-to-watch,,,,,,,,,,
task,[Digital Technology Leaders Awards 2023 - 2023 finalists](https://event.computing.co.uk/digitaltechnologyleaderswards2023/en/page/2023-finalists),,4,1,Colin (16279760),,,,Europe/London,,
task,Moodys,[Careers at Moody's](https://careers.moodys.com/),4,1,Colin (16279760),,,,Europe/London,,
task,Morningstar,[Search results | Find available job openings at Morningstar](https://careers.morningstar.com/us/en/search-results),4,1,Colin (16279760),,,,Europe/London,,
