TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
task,Create a MOC in Obsidian,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Secure account,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Use anonymised email address,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Change password,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Recycle API key,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Add 2FA,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Remove from Dashlane,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Learn all the keyboard shortcuts,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Learn the search criteria to maximise usage,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Learn the date/time formats supported,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Checkout Pluralsight courses available,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Consider upgrading to Premium features,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,LinkedIn,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Follow organisation,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Follow groups,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Follow hashtag,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Subscribe to YouTube channel within Inoreader,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Subscribe to dedicated/related podcasts,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Discord channel,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,subscription fees,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,subscribe to forum(s) in Inoreader,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Follow on Socials,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Facebook,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Github,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Twitter,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Mastodon,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Feeds,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Blog,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Google keywords,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Reditt,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Websites,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Install on devices,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Android,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Linux,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Plugin: Browser,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Plugin: Gmail,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Raspberry Pi,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Windows,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Schedule socials health checklist,,4,1,,,,en,GMT +1:00,,None
