TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
task,Secure account,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Use anonymised email address,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Change password,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Recycle API key,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Add 2FA,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,LinkedIn,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unfollow organisation,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unfollow groups,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unfollow hashtag,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unsubscribe to YouTube channel within Inoreader,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unsubscribe to dedicated/related podcasts,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Discord channel,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unsubscribe to forum(s) in Inoreader,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Unfollow on Socials,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Facebook,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Github,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Twitter,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Mastodon,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Remove Feeds,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Blog,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Google keywords,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Reditt,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Websites,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Un-install on devices,,4,1,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Android,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Linux,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Plugin: Browser,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Plugin: Gmail,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Raspberry Pi,,4,2,,,,en,GMT +1:00,,None
,,,,,,,,,,,
task,Windows,,4,2,,,,en,GMT +1:00,,None
